"ID","split"
179,"test"
180,"train"
181,"validation"
182,"validation"
183,"test"
184,"validation"
185,"train"
186,"train"
187,"train"
188,"test"
189,"test"
190,"train"
191,"train"
192,"train"
193,"train"
194,"train"
195,"validation"
196,"train"
197,"train"
198,"validation"
199,"test"
200,"train"
201,"validation"
202,"train"
203,"validation"
204,"train"
205,"train"
206,"test"
207,"validation"
208,"train"
209,"train"
210,"validation"
211,"validation"
212,"train"
213,"train"
214,"train"
215,"test"
216,"validation"
217,"train"
218,"test"
219,"train"
220,"test"
221,"train"
222,"test"
223,"test"
224,"validation"
225,"train"
226,"test"
227,"train"
228,"validation"
229,"train"
230,"train"
231,"validation"
232,"train"
233,"validation"
234,"validation"
235,"train"
236,"validation"
237,"test"
238,"test"
239,"validation"
240,"train"
241,"train"
242,"train"
243,"train"
244,"validation"
245,"train"
246,"train"
247,"train"
248,"train"
249,"train"
250,"train"
251,"train"
252,"train"
253,"train"
254,"train"
255,"test"
256,"train"
257,"train"
258,"test"
259,"train"
260,"train"
261,"train"
262,"validation"
263,"train"
264,"validation"
265,"train"
266,"test"
267,"train"
268,"train"
269,"train"
270,"validation"
271,"train"
272,"test"
273,"train"
274,"validation"
275,"train"
276,"test"
277,"test"
278,"train"
279,"train"
280,"test"
281,"train"
282,"train"
283,"train"
284,"test"
285,"test"
286,"train"
287,"train"
288,"train"
289,"test"
290,"validation"
291,"train"
292,"validation"
293,"train"
294,"train"
295,"test"
296,"validation"
297,"train"
298,"test"
299,"train"
300,"train"
301,"train"
302,"test"
303,"train"
304,"train"
305,"train"
306,"validation"
307,"train"
308,"train"
309,"validation"
310,"train"
311,"validation"
312,"train"
313,"train"
314,"test"
315,"validation"
316,"validation"
317,"validation"
318,"test"
319,"validation"
320,"validation"
321,"test"
322,"train"
323,"train"
324,"train"
325,"validation"
326,"test"
327,"train"
328,"train"
329,"train"
330,"test"
331,"validation"
332,"train"
333,"train"
334,"train"
335,"test"
336,"validation"
337,"train"
338,"test"
339,"train"
340,"train"
341,"test"
342,"test"
343,"train"
344,"validation"
345,"validation"
346,"train"
347,"test"
348,"train"
349,"test"
350,"test"
351,"test"
352,"train"
353,"test"
354,"train"
355,"train"
356,"train"
357,"train"
358,"test"
359,"test"
360,"validation"
361,"test"
362,"train"
363,"train"
364,"train"
365,"validation"
366,"train"
367,"test"
368,"train"
369,"train"
370,"validation"
371,"validation"
372,"train"
373,"train"
374,"train"
375,"validation"
376,"train"
377,"test"
378,"validation"
379,"validation"
380,"train"
381,"validation"
382,"test"
383,"train"
384,"train"
385,"validation"
386,"test"
387,"test"
388,"train"
389,"test"
390,"train"
391,"validation"
392,"test"
393,"train"
394,"validation"
395,"train"
396,"train"
397,"train"
398,"validation"
399,"test"
400,"train"
401,"train"
402,"validation"
403,"test"
404,"train"
405,"train"
406,"train"
407,"train"
408,"train"
409,"train"
410,"test"
411,"train"
412,"train"
413,"train"
414,"test"
415,"test"
416,"train"
417,"test"
418,"test"
419,"train"
420,"train"
421,"validation"
422,"train"
423,"train"
424,"train"
425,"test"
426,"train"
427,"validation"
428,"train"
429,"train"
430,"train"
431,"train"
432,"validation"
433,"train"
434,"train"
435,"train"
436,"train"
437,"train"
438,"train"
439,"test"
440,"test"
441,"train"
442,"train"
443,"train"
444,"train"
445,"train"
446,"train"
447,"test"
448,"train"
449,"train"
450,"validation"
451,"train"
452,"validation"
453,"test"
454,"validation"
455,"train"
456,"test"
457,"train"
458,"test"
459,"train"
460,"train"
461,"train"
462,"validation"
463,"train"
464,"train"
465,"validation"
466,"train"
467,"validation"
468,"validation"
469,"train"
470,"train"
471,"test"
472,"train"
473,"train"
474,"validation"
475,"train"
476,"train"
477,"train"
478,"train"
479,"train"
480,"train"
481,"train"
482,"validation"
483,"test"
484,"test"
485,"validation"
486,"train"
487,"train"
488,"test"
489,"test"
490,"validation"
491,"train"
492,"train"
493,"train"
494,"train"
495,"train"
496,"train"
497,"validation"
498,"train"
499,"train"
500,"test"
501,"test"
502,"train"
503,"train"
504,"train"
505,"train"
506,"train"
507,"train"
508,"validation"
509,"test"
510,"train"
511,"train"
512,"train"
513,"test"
514,"test"
515,"validation"
516,"train"
517,"train"
518,"test"
519,"train"
520,"test"
521,"test"
522,"test"
523,"validation"
524,"validation"
525,"test"
526,"validation"
527,"train"
528,"train"
529,"validation"
530,"train"
531,"train"
532,"train"
533,"train"
534,"train"
535,"validation"
536,"train"
537,"test"
538,"train"
539,"train"
540,"train"
541,"test"
542,"train"
543,"train"
544,"train"
545,"validation"
546,"test"
547,"train"
548,"train"
549,"train"
550,"train"
551,"test"
552,"train"
553,"test"
554,"train"
555,"train"
556,"test"
557,"train"
558,"train"
559,"train"
560,"train"
561,"train"
562,"train"
563,"test"
564,"train"
565,"train"
566,"test"
567,"train"
568,"validation"
569,"validation"
570,"train"
571,"train"
572,"train"
573,"test"
574,"validation"
575,"train"
576,"validation"
577,"train"
578,"train"
579,"train"
580,"train"
581,"validation"
582,"train"
583,"test"
584,"test"
585,"validation"
586,"train"
587,"train"
588,"test"
589,"train"
590,"test"
591,"train"
592,"train"
593,"validation"
594,"validation"
595,"train"
596,"train"
597,"train"
598,"validation"
599,"train"
600,"validation"
601,"train"
602,"validation"
603,"train"
604,"train"
605,"train"
606,"train"
607,"train"
608,"train"
609,"test"
610,"train"
611,"train"
612,"train"
613,"validation"
614,"test"
615,"validation"
616,"train"
617,"train"
618,"validation"
619,"train"
620,"test"
621,"train"
622,"train"
623,"train"
624,"test"
625,"train"
626,"train"
627,"test"
628,"test"
629,"train"
630,"train"
631,"train"
632,"validation"
633,"train"
634,"train"
635,"train"
636,"train"
637,"train"
638,"train"
639,"train"
640,"train"
641,"test"
642,"train"
643,"train"
644,"train"
645,"train"
646,"train"
647,"train"
648,"train"
649,"test"
650,"train"
651,"train"
652,"test"
653,"train"
654,"train"
655,"test"
656,"train"
657,"test"
658,"train"
659,"train"
660,"validation"
661,"test"
662,"train"
663,"train"
664,"train"
665,"test"
666,"train"
667,"train"
668,"train"
669,"train"
670,"test"
671,"train"
672,"train"
673,"train"
674,"train"
675,"validation"
676,"validation"
677,"train"
678,"train"
679,"train"
680,"validation"
681,"test"
682,"train"
683,"train"
684,"test"
685,"train"
686,"test"
687,"train"
688,"test"
689,"train"
690,"train"
691,"train"
692,"validation"
693,"train"
694,"train"
695,"train"
696,"train"
697,"train"
698,"train"
699,"validation"
700,"train"
701,"train"
702,"train"
703,"train"
704,"train"
705,"test"
706,"train"
707,"train"
708,"train"
709,"validation"
710,"validation"
711,"train"
712,"train"
713,"train"
714,"train"
715,"train"
716,"train"
717,"train"
718,"validation"
719,"test"
720,"validation"
721,"train"
722,"validation"
723,"validation"
724,"test"
725,"test"
726,"train"
727,"train"
728,"validation"
729,"validation"
730,"validation"
731,"train"
732,"test"
733,"test"
734,"test"
735,"train"
736,"test"
737,"train"
738,"test"
739,"validation"
740,"train"
741,"validation"
742,"train"
743,"validation"
744,"train"
745,"train"
746,"validation"
747,"train"
748,"test"
749,"validation"
750,"train"
751,"train"
752,"train"
753,"validation"
754,"train"
755,"train"
756,"validation"
757,"test"
758,"test"
759,"validation"
760,"train"
761,"train"
762,"train"
763,"train"
764,"validation"
765,"train"
766,"train"
767,"test"
768,"test"
769,"test"
770,"validation"
771,"train"
772,"train"
773,"train"
774,"train"
775,"test"
776,"train"
777,"train"
778,"test"
779,"validation"
780,"validation"
781,"train"
782,"train"
783,"train"
784,"validation"
785,"train"
786,"train"
787,"train"
788,"validation"
789,"train"
790,"test"
791,"train"
792,"train"
793,"train"
794,"validation"
795,"train"
796,"train"
797,"validation"
798,"train"
799,"train"
800,"validation"
801,"test"
802,"train"
803,"validation"
804,"train"
805,"train"
806,"train"
807,"validation"
808,"validation"
809,"train"
810,"test"
811,"test"
812,"train"
813,"validation"
814,"validation"
815,"validation"
816,"train"
817,"validation"
818,"validation"
819,"validation"
820,"train"
821,"train"
822,"test"
823,"train"
824,"test"
825,"train"
826,"train"
827,"train"
828,"train"
829,"validation"
830,"train"
831,"train"
832,"train"
833,"train"
834,"validation"
835,"train"
836,"train"
837,"validation"
838,"test"
839,"train"
840,"test"
841,"train"
842,"test"
843,"validation"
844,"train"
845,"train"
846,"train"
847,"test"
848,"train"
849,"validation"
850,"test"
851,"test"
852,"train"
853,"train"
854,"train"
855,"train"
856,"test"
857,"train"
858,"validation"
859,"train"
860,"train"
861,"train"
862,"train"
863,"validation"
864,"train"
865,"test"
866,"train"
867,"validation"
868,"train"
869,"train"
870,"train"
871,"train"
872,"validation"
873,"test"
874,"test"
875,"train"
876,"test"
877,"train"
878,"train"
879,"train"
880,"train"
881,"validation"
882,"test"
883,"validation"
884,"train"
885,"validation"
886,"train"
887,"train"
888,"test"
889,"test"
890,"train"
891,"train"
892,"test"
893,"train"
894,"validation"
895,"validation"
896,"validation"
897,"train"
898,"validation"
899,"train"
900,"validation"
901,"test"
902,"validation"
903,"train"
904,"train"
905,"train"
906,"train"
907,"test"
908,"train"
909,"train"
910,"train"
911,"train"
912,"validation"
913,"train"
914,"test"
915,"validation"
916,"train"
917,"validation"
918,"train"
919,"train"
920,"test"
921,"train"
922,"test"
923,"train"
924,"train"
925,"test"
926,"train"
927,"train"
928,"test"
929,"train"
930,"train"
931,"test"
932,"validation"
933,"train"
934,"train"
935,"train"
936,"train"
937,"test"
938,"train"
939,"test"
940,"train"
941,"train"
942,"validation"
943,"train"
944,"train"
945,"train"
946,"train"
947,"test"
948,"validation"
949,"train"
950,"validation"
951,"test"
952,"train"
953,"validation"
954,"test"
955,"train"
956,"train"
957,"train"
958,"test"
959,"train"
960,"validation"
961,"test"
962,"train"
963,"train"
964,"train"
965,"validation"
966,"train"
967,"validation"
968,"train"
969,"train"
970,"train"
971,"train"
972,"validation"
973,"validation"
974,"train"
975,"test"
976,"train"
977,"validation"
978,"train"
979,"test"
980,"train"
981,"test"
982,"test"
983,"test"
984,"test"
985,"test"
986,"test"
987,"train"
988,"train"
989,"validation"
990,"test"
991,"train"
992,"validation"
993,"train"
994,"train"
995,"train"
996,"test"
997,"train"
998,"train"
999,"train"
1000,"validation"
1001,"test"
1002,"train"
1003,"train"
1004,"validation"
1005,"train"
1006,"train"
1007,"validation"
1008,"test"
1009,"train"
1010,"validation"
1011,"train"
1012,"validation"
1013,"train"
1014,"validation"
1015,"test"
1016,"train"
1017,"train"
1018,"validation"
1019,"validation"
1020,"train"
1021,"test"
1022,"train"
1023,"validation"
1024,"train"
1025,"test"
1026,"train"
1027,"train"
1028,"validation"
1029,"test"
1030,"train"
1031,"train"
1032,"validation"
1033,"train"
1034,"test"
1035,"train"
1036,"validation"
1037,"train"
1038,"validation"
1039,"test"
1040,"train"
1041,"test"
1042,"train"
1043,"test"
1044,"validation"
1045,"train"
1046,"validation"
1047,"train"
1048,"train"
1049,"train"
1050,"validation"
1051,"train"
1052,"train"
1053,"train"
1054,"validation"
1055,"validation"
1056,"train"
1057,"train"
1058,"train"
1059,"train"
1060,"train"
1061,"train"
1062,"validation"
1063,"train"
1064,"test"
1065,"train"
1066,"train"
1067,"validation"
1068,"test"
1069,"train"
1070,"validation"
1071,"validation"
1072,"train"
1073,"test"
1074,"train"
1075,"train"
1076,"train"
1077,"train"
1078,"train"
1079,"train"
1080,"validation"
1081,"train"
1082,"validation"
1083,"test"
1084,"test"
1085,"train"
1086,"validation"
1087,"train"
1088,"train"
1089,"validation"
1090,"train"
1091,"validation"
1092,"train"
1093,"validation"
1094,"test"
1095,"train"
1096,"validation"
1097,"train"
1098,"train"
1099,"validation"
1100,"train"
1101,"test"
1102,"train"
1103,"validation"
1104,"train"
1105,"validation"
1106,"train"
1107,"test"
1108,"test"
1109,"train"
1110,"train"
1111,"train"
1112,"train"
1113,"train"
1114,"test"
1115,"train"
1116,"train"
1117,"train"
1118,"train"
1119,"train"
1120,"train"
1121,"test"
1122,"train"
1123,"test"
1124,"train"
1125,"train"
1126,"train"
1127,"train"
1128,"train"
1129,"train"
1130,"validation"
1131,"train"
1132,"train"
1133,"validation"
1134,"train"
1135,"validation"
1136,"train"
1137,"train"
1138,"train"
1139,"train"
1140,"train"
1141,"train"
1142,"train"
1143,"test"
1144,"train"
1145,"validation"
1146,"train"
1147,"train"
1148,"train"
1149,"train"
1150,"train"
1151,"test"
1152,"test"
1153,"train"
1154,"train"
1155,"validation"
1156,"validation"
1157,"validation"
1158,"train"
1159,"test"
1160,"train"
1161,"train"
1162,"train"
1163,"test"
1164,"train"
1165,"train"
1166,"train"
1167,"train"
1168,"validation"
1169,"train"
1170,"train"
1171,"train"
1172,"train"
1173,"train"
1174,"test"
1175,"test"
1176,"train"
1177,"train"
1178,"train"
1179,"train"
1180,"test"
1181,"validation"
1182,"train"
1183,"validation"
1184,"train"
1185,"train"
1186,"validation"
1187,"validation"
1188,"train"
1189,"train"
1190,"validation"
1191,"test"
1192,"validation"
1193,"train"
1194,"train"
1195,"train"
1196,"validation"
1197,"train"
1198,"validation"
1199,"train"
1200,"validation"
1201,"validation"
1202,"validation"
1203,"train"
1204,"train"
1205,"test"
1206,"validation"
1207,"validation"
1208,"test"
1209,"train"
1210,"train"
1211,"validation"
1212,"test"
1213,"train"
1214,"test"
1215,"test"
1216,"train"
1217,"test"
1218,"test"
1219,"validation"
1220,"test"
1221,"train"
1222,"validation"
1223,"train"
1224,"validation"
1225,"train"
1226,"train"
1227,"train"
1228,"validation"
1229,"validation"
1230,"train"
1231,"train"
1232,"train"
1233,"train"
1234,"train"
1235,"train"
1236,"train"
1237,"test"
1238,"train"
1239,"train"
1240,"train"
1241,"test"
1242,"train"
1243,"train"
1244,"train"
1245,"train"
1246,"test"
1247,"test"
1248,"train"
1249,"train"
1250,"train"
1251,"test"
1252,"validation"
1253,"validation"
1254,"train"
1255,"test"
1256,"validation"
1257,"test"
1258,"validation"
1259,"train"
1260,"train"
1261,"train"
1262,"test"
1263,"train"
1264,"train"
1265,"train"
1266,"train"
1267,"train"
1268,"train"
1269,"validation"
1270,"test"
1271,"test"
1272,"train"
1273,"test"
1274,"train"
1275,"train"
1276,"train"
1277,"train"
1278,"train"
1279,"train"
1280,"validation"
1281,"train"
1282,"validation"
1283,"train"
1284,"train"
1285,"train"
1286,"train"
1287,"test"
1288,"train"
1289,"test"
1290,"train"
1291,"train"
1292,"train"
1293,"train"
1294,"validation"
1295,"train"
1296,"test"
1297,"validation"
1298,"train"
1299,"train"
1300,"train"
1301,"train"
1302,"test"
1303,"train"
1304,"train"
1305,"train"
1306,"train"
1307,"test"
1308,"train"
1309,"train"
1310,"validation"
1311,"train"
1312,"test"
1313,"train"
1314,"validation"
1315,"validation"
1316,"train"
1317,"train"
1318,"train"
1319,"train"
1320,"train"
1321,"test"
1322,"train"
1323,"train"
1324,"train"
1325,"validation"
1326,"train"
1327,"train"
1328,"validation"
1329,"test"
1330,"test"
1331,"validation"
1332,"test"
1333,"validation"
1334,"test"
1335,"train"
1336,"test"
1337,"train"
1338,"train"
1339,"validation"
1340,"train"
1341,"test"
1342,"train"
1343,"validation"
1344,"test"
1345,"train"
1346,"train"
1347,"train"
1348,"validation"
1349,"train"
1350,"validation"
1351,"train"
1352,"validation"
1353,"test"
1354,"train"
1355,"test"
1356,"train"
1357,"validation"
1358,"test"
1359,"train"
1360,"train"
1361,"train"
1362,"validation"
1363,"train"
1364,"train"
1365,"test"
1366,"train"
1367,"train"
1368,"validation"
1369,"test"
1370,"validation"
1371,"train"
1372,"validation"
1373,"train"
1374,"train"
1375,"train"
1376,"train"
1377,"train"
1378,"validation"
1379,"train"
1380,"train"
1381,"train"
1382,"train"
1383,"train"
1384,"train"
1385,"train"
1386,"test"
1387,"train"
1388,"test"
1389,"test"
1390,"train"
1391,"train"
1392,"train"
1393,"train"
1394,"test"
1395,"train"
1396,"test"
1397,"train"
1398,"test"
1399,"train"
1400,"validation"
1401,"train"
1402,"train"
1403,"train"
1404,"train"
1405,"train"
1406,"validation"
1407,"train"
1408,"train"
1409,"validation"
1410,"test"
1411,"validation"
1412,"train"
1413,"validation"
1414,"train"
1415,"train"
1416,"train"
1417,"validation"
1418,"test"
1419,"train"
1420,"train"
1421,"test"
1422,"train"
1423,"validation"
1424,"validation"
1425,"validation"
1426,"validation"
1427,"train"
1428,"validation"
1429,"train"
1430,"train"
1431,"train"
1432,"train"
1433,"validation"
1434,"train"
1435,"train"
1436,"validation"
1437,"test"
1438,"train"
1439,"train"
1440,"train"
1441,"train"
1442,"train"
1443,"train"
1444,"train"
1445,"train"
1446,"train"
1447,"test"
1448,"train"
1449,"train"
1450,"test"
1451,"validation"
1452,"validation"
1453,"train"
1454,"test"
1455,"validation"
1456,"validation"
1457,"validation"
1458,"validation"
1459,"validation"
1460,"train"
1461,"validation"
1462,"validation"
1463,"train"
1464,"train"
1465,"validation"
1466,"train"
1467,"train"
1468,"train"
1469,"train"
1470,"train"
1471,"validation"
1472,"train"
1473,"test"
1474,"train"
1475,"validation"
1476,"train"
1477,"test"
1478,"test"
1479,"test"
1480,"train"
1481,"train"
1482,"train"
1483,"train"
1484,"test"
1485,"validation"
1486,"validation"
1487,"train"
1488,"train"
1489,"test"
1490,"train"
1491,"train"
1492,"train"
1493,"validation"
1494,"train"
1495,"train"
1496,"train"
1497,"train"
1498,"test"
1499,"train"
1500,"train"
1501,"train"
1502,"train"
1503,"validation"
1504,"train"
1505,"test"
1506,"validation"
1507,"train"
1508,"validation"
1509,"test"
1510,"validation"
1511,"train"
1512,"train"
1513,"train"
1514,"train"
1515,"train"
1516,"test"
1517,"train"
1518,"train"
1519,"validation"
1520,"train"
1521,"test"
1522,"train"
1523,"train"
1524,"train"
1525,"train"
1526,"validation"
1527,"train"
1528,"train"
1529,"test"
1530,"train"
1531,"train"
1532,"train"
1533,"train"
1534,"test"
1535,"train"
1536,"train"
1537,"train"
1538,"test"
1539,"validation"
1540,"train"
1541,"test"
1542,"validation"
1543,"train"
1544,"validation"
1545,"test"
1546,"validation"
1547,"train"
1548,"train"
1549,"train"
1550,"train"
1551,"validation"
1552,"train"
1553,"train"
1554,"train"
1555,"test"
1556,"validation"
1557,"validation"
1558,"validation"
1559,"train"
1560,"train"
1561,"train"
1562,"train"
1563,"test"
1564,"validation"
1565,"train"
1566,"validation"
1567,"train"
1568,"train"
1569,"validation"
1570,"train"
1571,"train"
1572,"train"
1573,"train"
1574,"train"
1575,"validation"
1576,"test"
1577,"test"
1578,"test"
1579,"validation"
1580,"test"
1581,"test"
1582,"train"
1583,"test"
1584,"train"
1585,"train"
1586,"train"
1587,"train"
1588,"train"
1589,"train"
1590,"train"
1591,"validation"
1592,"validation"
1593,"train"
1594,"train"
1595,"validation"
1596,"train"
1597,"train"
1598,"train"
1599,"validation"
1600,"validation"
1601,"test"
1602,"validation"
1603,"test"
1604,"train"
1605,"train"
1606,"test"
1607,"train"
1608,"train"
1609,"test"
1610,"train"
1611,"validation"
1612,"train"
1613,"validation"
1614,"test"
1615,"validation"
1616,"validation"
1617,"test"
1618,"validation"
1619,"validation"
1620,"train"
1621,"test"
1622,"train"
1623,"validation"
1624,"train"
1625,"train"
1626,"test"
1627,"train"
1628,"test"
1629,"validation"
1630,"train"
1631,"train"
1632,"train"
1633,"train"
1634,"validation"
1635,"train"
1636,"test"
1637,"validation"
1638,"train"
1639,"train"
1640,"train"
1641,"train"
1642,"test"
1643,"validation"
1644,"train"
1645,"train"
1646,"test"
1647,"train"
1648,"train"
1649,"train"
1650,"train"
1651,"train"
1652,"validation"
1653,"train"
1654,"train"
1655,"train"
1656,"train"
1657,"train"
1658,"train"
1659,"train"
1660,"train"
1661,"validation"
1662,"train"
1663,"validation"
1664,"validation"
1665,"test"
1666,"train"
1667,"train"
1668,"train"
1669,"train"
1670,"train"
1671,"validation"
1672,"train"
1673,"test"
1674,"test"
1675,"test"
1676,"validation"
1677,"validation"
1678,"test"
1679,"train"
1680,"train"
1681,"validation"
1682,"train"
1683,"test"
1684,"train"
1685,"train"
1686,"train"
1687,"test"
1688,"validation"
1689,"train"
1690,"train"
1691,"test"
1692,"train"
1693,"validation"
1694,"test"
1695,"validation"
1696,"train"
1697,"train"
1698,"train"
1699,"train"
1700,"test"
1701,"test"
1702,"train"
1703,"train"
1704,"train"
1705,"train"
1706,"train"
1707,"test"
1708,"train"
1709,"train"
1710,"validation"
1711,"train"
1712,"test"
1713,"train"
1714,"validation"
1715,"train"
1716,"train"
1717,"train"
1718,"train"
1719,"train"
1720,"train"
1721,"train"
1722,"train"
1723,"validation"
1724,"train"
1725,"train"
1726,"validation"
1727,"train"
1728,"test"
1729,"validation"
1730,"train"
1731,"validation"
1732,"test"
1733,"train"
1734,"train"
1735,"validation"
1736,"train"
1737,"train"
1738,"test"
1739,"train"
1740,"train"
1741,"train"
1742,"train"
1743,"test"
1744,"test"
1745,"train"
1746,"train"
1747,"train"
1748,"train"
1749,"train"
1750,"test"
1751,"train"
1752,"train"
1753,"validation"
1754,"train"
1755,"train"
1756,"train"
1757,"validation"
1758,"train"
1759,"validation"
1760,"validation"
1761,"train"
1762,"train"
1763,"test"
1764,"train"
1765,"train"
1766,"train"
1767,"train"
1768,"validation"
1769,"train"
1770,"validation"
1771,"test"
1772,"train"
1773,"train"
1774,"train"
1775,"train"
1776,"train"
1777,"train"
1778,"test"
1779,"train"
1780,"validation"
1781,"train"
1782,"validation"
1783,"train"
1784,"test"
1785,"train"
1786,"train"
1787,"validation"
1788,"validation"
1789,"train"
1790,"test"
1791,"test"
1792,"train"
1793,"validation"
1794,"validation"
1795,"train"
1796,"train"
1797,"train"
1798,"test"
1799,"test"
1800,"train"
1801,"train"
1802,"train"
1803,"train"
1804,"train"
1805,"train"
1806,"test"
1807,"train"
1808,"test"
1809,"validation"
1810,"test"
1811,"train"
1812,"test"
1813,"test"
1814,"test"
1815,"test"
1816,"train"
1817,"train"
1818,"train"
1819,"validation"
1820,"train"
1821,"train"
1822,"train"
1823,"train"
1824,"train"
1825,"train"
1826,"test"
1827,"train"
1828,"train"
1829,"train"
1830,"validation"
1831,"train"
1832,"train"
1833,"train"
1834,"validation"
1835,"test"
1836,"train"
1837,"test"
1838,"test"
1839,"test"
1840,"train"
1841,"test"
1842,"train"
1843,"train"
1844,"validation"
1845,"validation"
1846,"test"
1847,"validation"
1848,"train"
1849,"train"
1850,"validation"
1851,"train"
1852,"validation"
1853,"test"
1854,"validation"
1855,"test"
1856,"test"
1857,"train"
1858,"train"
1859,"test"
1860,"train"
1861,"train"
1862,"validation"
1863,"train"
1864,"train"
1865,"train"
1866,"train"
1867,"train"
1868,"train"
1869,"test"
1870,"train"
1871,"train"
1872,"test"
1873,"validation"
1874,"train"
1875,"train"
1876,"test"
1877,"test"
1878,"train"
1879,"train"
1880,"train"
1881,"train"
1882,"validation"
1883,"test"
1884,"train"
1885,"test"
1886,"train"
1887,"train"
1888,"train"
1889,"train"
1890,"train"
1891,"train"
1892,"validation"
1893,"train"
1894,"test"
1895,"train"
1896,"train"
1897,"train"
1898,"train"
1899,"test"
1900,"train"
1901,"train"
1902,"validation"
1903,"validation"
1904,"train"
1905,"validation"
1906,"validation"
1907,"train"
1908,"validation"
1909,"train"
1910,"train"
1911,"train"
1912,"train"
1913,"test"
1914,"train"
1915,"test"
1916,"validation"
1917,"validation"
1918,"train"
1919,"train"
1920,"validation"
1921,"train"
1922,"train"
1923,"train"
1924,"test"
1925,"train"
1926,"train"
1927,"validation"
1928,"test"
1929,"train"
1930,"train"
1931,"test"
1932,"train"
1933,"train"
1934,"train"
1935,"train"
1936,"validation"
1937,"train"
1938,"validation"
1939,"train"
1940,"validation"
1941,"train"
1942,"train"
1943,"train"
1944,"validation"
1945,"train"
1946,"train"
1947,"train"
1948,"train"
1949,"test"
1950,"train"
1951,"train"
1952,"train"
1953,"train"
1954,"validation"
1955,"validation"
1956,"train"
1957,"test"
1958,"train"
1959,"validation"
1960,"validation"
1961,"train"
1962,"validation"
1963,"train"
1964,"train"
1965,"validation"
1966,"test"
1967,"validation"
1968,"test"
1969,"train"
1970,"test"
1971,"train"
1972,"test"
1973,"train"
1974,"validation"
1975,"train"
1976,"train"
1977,"test"
1978,"train"
1979,"train"
1980,"train"
1981,"validation"
1982,"train"
1983,"train"
1984,"validation"
1985,"test"
1986,"validation"
1987,"test"
1988,"test"
1989,"train"
1990,"train"
1991,"train"
1992,"train"
1993,"validation"
1994,"train"
1995,"test"
1996,"train"
1997,"test"
1998,"train"
1999,"test"
2000,"train"
2001,"test"
2002,"train"
2003,"train"
2004,"train"
2005,"validation"
2006,"train"
2007,"test"
2008,"train"
2009,"validation"
2010,"train"
2011,"train"
2012,"test"
2013,"train"
2014,"train"
2015,"test"
2016,"train"
2017,"test"
2018,"test"
2019,"train"
2020,"train"
2021,"train"
2022,"validation"
2023,"train"
2024,"train"
2025,"train"
2026,"train"
2027,"train"
2028,"train"
2029,"validation"
2030,"test"
2031,"train"
2032,"train"
2033,"test"
2034,"test"
2035,"train"
2036,"test"
2037,"train"
2038,"train"
2039,"train"
2040,"train"
2041,"train"
2042,"train"
2043,"test"
2044,"train"
2045,"test"
2046,"validation"
2047,"test"
2048,"train"
2049,"validation"
2050,"train"
2051,"train"
2052,"train"
2053,"validation"
2054,"test"
2055,"train"
2056,"test"
2057,"train"
2058,"train"
2059,"train"
2060,"test"
2061,"train"
2062,"train"
2063,"test"
2064,"train"
2065,"train"
2066,"train"
2067,"test"
2068,"train"
2069,"test"
2070,"test"
2071,"validation"
2072,"train"
2073,"train"
2074,"test"
2075,"validation"
2076,"validation"
2077,"train"
2078,"train"
2079,"validation"
2080,"train"
